articleId,authorRaw,authorName,authorEmail,authorParseMethod,authorParseStatus
5192118,글 송이령(프리랜서) 사진 프리픽 일러스트 게티이미지뱅크,송이령,,b_tag_following_text,found
5192116,글과 사진 최유진,최유진,,b_tag_following_text,found
5191019,글 박윤선(기업커뮤니케이션 & 컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5191017,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5190776,"글 권이현(칼럼니스트) 사진 및 일러스트 게티이미지뱅크, 픽사베이",권이현,,b_tag_following_text,found
5190612,글 변덕호(매경에이엑스) 기자] [사진 롯데리아 홈페이지 갈무리,변덕호,,b_tag_following_text,found
5190603,글과 사진 류주현,류주현,,b_tag_following_text,found
5189489,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5189487,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5189229,글과 사진 최유진,최유진,,b_tag_following_text,found
5188717,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5188716,글 변덕호(매경에이엑스) 기자 사진 시몬스,변덕호,,b_tag_following_text,found
5188051,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5187832,tgar1@mbn.co.kr,,tgar1@mbn.co.kr,regex_email_only,partial
5187792,글과 사진 류주현,류주현,,b_tag_following_text,found
5187391,이상주기자,이상주,,regex_tail_reporter_suffix,found
5185506,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5184969,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5184957,글과 사진 류주현,류주현,,b_tag_following_text,found
5183745,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5183734,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5183457,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 프리픽",변시영,,b_tag_following_text,found
5182962,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5182961,글과 사진 최유진,최유진,,b_tag_following_text,found
5182265,글 변덕호(매경에이엑스) 기자] [사진 GS리테일,변덕호,,b_tag_following_text,found
5182010,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 프리픽",변시영,,b_tag_following_text,found
5181540,글과 사진 류주현,류주현,,b_tag_following_text,found
5181537,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5181055,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5181054,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5180592,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 게티이미지뱅크",변시영,,b_tag_following_text,found
5180085,글과 사진 최유진,최유진,,b_tag_following_text,found
5179816,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5179275,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5179259,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 프리픽",변시영,,b_tag_following_text,found
5176581,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5175561,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5175560,글과 사진 류주현,류주현,,b_tag_following_text,found
5175290,"글 이하린(매경 에이엑스) 기자] [사진 스타벅스, 투썸플레이스",이하린,,b_tag_following_text,found
5174978,글 송이령(프리랜서) 일러스트 프리픽,송이령,,b_tag_following_text,found
5174699,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 프리픽",변시영,,b_tag_following_text,found
5173422,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5173421,글과 사진 최유진,최유진,,b_tag_following_text,found
5173416,글 송이령(프리랜서) 일러스트 프리픽,송이령,,b_tag_following_text,found
5172539,"글 이하린(매경 에이엑스) 기자] [사진 더 플라자, JW 메리어트 동대문 스퀘어 서울",이하린,,b_tag_following_text,found
5171749,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5171735,글 송이령(프리랜서) 일러스트 프리픽,송이령,,b_tag_following_text,found
5171442,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서) 일러스트 프리픽",변시영,,b_tag_following_text,found
5171436,글과 사진 류주현,류주현,,b_tag_following_text,found
5170846,글과 사진 최유진,최유진,,b_tag_following_text,found
5170668,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5170666,글 송이령(프리랜서) 사진 게티이미지뱅크,송이령,,b_tag_following_text,found
5169288,"글 이하린(매경에이엑스) 기자] [사진 아모레퍼시픽, 한국콜마",이하린,,b_tag_following_text,found
5168534,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5168194,글과 사진 류주현,류주현,,b_tag_following_text,found
5168190,"글 변시영(상담심리전문가(Ph.D), 『참 괜찮은 나』 외 다수 저서 일러스트 프리픽",변시영,,b_tag_following_text,found
5167637,"글 시티라이프부 이승연 기자 lee.seungyeon@mk.co.kr] [사진 이마트24, (학화호도과자 사진)독자 제공",시티라이,lee.seungyeon@mk.co.kr,b_tag_following_text,found
5167208,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5166117,"글 이하린(매경에이엑스) 기자] [사진 CU, 넷플릭스",이하린,,b_tag_following_text,found
5166010,글 권이현(라이프컬처 칼럼니스트),권이현,,b_tag_following_text,found
